Company,Symbol,Current Price,Market Cap,Dividend,Yield,52-Week Return
United Parcel Service,UPS,106.9,$92.8B,3.32,3.11%,-6.80%
Paychex Inc.,PAYX,59.13,$21.2B,1.84,3.11%,-2.90%
International Business Machines,IBM,180.67,$171.8B,5.6,3.10%,8.80%
Emerson Electric Company,EMR,61.89,$39.9B,1.92,3.10%,11.00%
NextEra Energy,NEE,126.86,$59.3B,3.93,3.10%,6.20%
CMS Energy,CMS,43.22,$12.1B,1.33,3.08%,3.80%
NiSource Inc.,NI,22.7,$7.3B,0.7,3.08%,2.50%
PG&E Corp.,PCG,63.92,$32.4B,1.96,3.07%,5.20%
WestRock Company,WRK,52.66,$13.2B,1.6,3.04%,3.70%
MetLife Inc.,MET,52.97,$58B,1.6,3.02%,-1.70%
Dow Chemical,DOW,61.26,$74.3B,1.84,3.00%,7.10%
Gilead Sciences,GILD,69.85,$92B,2.08,2.98%,-2.50%
Interpublic Group,IPG,24.5,$9.7B,0.72,2.94%,4.70%
McDonald's Corp.,MCD,127.8,$106.1B,3.76,2.94%,5.00%
Procter & Gamble,PG,91.09,$232.9B,2.68,2.94%,8.30%
Kimberly-Clark,KMB,131.93,$47B,3.88,2.94%,15.60%
Darden Restaurants,DRI,76.73,$9.5B,2.24,2.92%,5.50%
Principal Financial Group,PFG,62.12,$17.9B,1.8,2.90%,7.40%
Merck & Co.,MRK,65.39,$180.3B,1.88,2.88%,11.10%
Wal-Mart Stores,WMT,69.37,$213.2B,2,2.88%,0.40%
Marathon Petroleum,MPC,50.02,$26.4B,1.44,2.88%,-0.70%
Bristol-Myers Squibb,BMY,54.59,$91.2B,1.56,2.86%,-6.60%
Archer-Daniels-Midland Co,ADM,44.69,$25.7B,1.28,2.86%,-2.10%
Kellogg Co.,K,72.9,$25.6B,2.08,2.85%,-1.10%
Sempra Energy,SRE,105.85,$26.5B,3.02,2.85%,5.20%
Hanesbrands Inc,HBI,21.02,$8B,0.6,2.85%,-2.50%
Intel Corp.,INTC,36.48,$172.9B,1.04,2.85%,0.60%
Edison Int'l,EIX,76.34,$24.9B,2.17,2.84%,6.00%
Williams Cos.,WMB,28.2,$23B,0.8,2.84%,-9.40%
"Essex Property Trust, Inc.",ESS,228.1,$14.9B,6.4,2.81%,-1.90%
Leggett & Platt,LEG,48.62,$6.5B,1.36,2.80%,-0.50%
Federal Realty Investment Trust,FRT,140.66,$10.1B,3.92,2.79%,-1
SL Green Realty,SLG,111.28,$11.3B,3.1,2.79%,3.50%
PepsiCo Inc.,PEP,108.15,$154.4B,3.01,2.78%,3.40%
Nielsen Holdings,NLSN,45.08,$16.1B,1.24,2.75%,7.50%
Cincinnati Financial,CINF,72.67,$11.9B,2,2.75%,-4.10%
Lockheed Martin Corp.,LMT,265.35,$77B,7.28,2.74%,6.20%
