Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
KBWD,PowerShares Exchange-Traded Fund Trust II,24.1201,2.01,8.2512,2/15/17,2/28/17
KBWP,PowerShares Exchange-Traded Fund Trust II,57.7,2.34108,4.0496,12/16/16,12/30/16
KBWR,PowerShares Exchange-Traded Fund Trust II,56.99,1.3556,2.372,12/16/16,12/30/16
KBWY,PowerShares Exchange-Traded Fund Trust II,37.95,2.44776,6.4279,2/15/17,2/28/17
KCAP,KCAP Financial Inc.,4.04,0.48,11.8227,1/4/17,1/27/17
KELYA,Kelly Services Inc.,21.99,0.3,1.368,11/21/16,12/8/16
KELYB,Kelly Services Inc.,21.5,0.3,1.3953,11/21/16,12/8/16
KEQU,Kewaunee Scientific Corporation,25.35,0.6,2.3622,12/1/16,12/19/16
KFFB,Kentucky First Federal Bancorp,9.9779,0.4,4.0193,1/27/17,2/14/17
KFRC,Kforce Inc.,25.2,0.48,1.901,12/7/16,12/23/16
KHC,The Kraft Heinz Company,96.65,2.4,2.7498,11/30/16,12/16/16
KINS,Kingstone Companies Inc,13.65,0.25,1.9011,11/28/16,12/15/16
KLAC,KLA-Tencor Corporation,88.46,2.16,2.4399,2/13/17,3/1/17
KNSL,Kinsale Capital Group Inc.,29.71,0.24,0.8141,2/13/17,3/15/17
KRNY,Kearny Financial,15.6,0.08,0.5161,11/28/16,12/14/16
KWEB,KraneShares Trust,40.01,0.827146,2.0525,12/20/16,12/23/16
LABL,Multi-Color Corporation,71.55,0.2,0.2825,2/13/17,3/1/17
LALT,PowerShares Actively Managed Exchange-Traded Fund Trust,22.5826,0.34499,1.5244,12/16/16,12/30/16
LAMR,Lamar Advertising Company,78.1,3.04,3.8751,12/15/16,12/30/16
LANC,Lancaster Colony Corporation,132.65,2.2,1.6524,12/7/16,12/30/16
LAND,Gladstone Land Corporation,12.25,0.516,4.1313,2/14/17,2/28/17
LARK,Landmark Bancorp Inc.,29.251,0.8,2.6828,2/13/17,3/1/17
LBAI,Lakeland Bancorp Inc.,20.05,0.38,1.9095,2/3/17,2/17/17
LCNB,LCNB Corporation,23.95,0.64,2.6891,11/29/16,12/15/16
LCUT,Lifetime Brands Inc.,14.7,0.17,1.1724,1/30/17,2/15/17
