"Company","Symbol","Current Price","Market Cap","Dividend","Yield","52-Week Return"
"American Water Works Company Inc","AWK",73.81,"$13.1B",1.5,"2.03%","2.0%"
"Fifth Third Bancorp","FITB",27.54,"$20.7B",0.56,"2.03%","2.1%"
"Chubb Limited","CB",136.19,"$63.5B",2.76,"2.03%","3.1%"
"Linear Technology Corp.","LLTC",64.92,"$15.6B",1.32,"2.03%","4.1%"
"ConAgra Foods Inc.","CAG",39.61,"$17.2B",0.8,"2.02%","0.2%"
"Royal Caribbean Cruises Ltd","RCL",95.21,"$20.4B",1.92,"2.02%","16.1%"
"Microchip Technology","MCHP",71.68,"$15.5B",1.44,"2.01%","11.7%"
"Illinois Tool Works","ITW",130.31,"$45.2B",2.6,"2.0%","6.4%"
"Rockwell Automation Inc.","ROK",151.92,"$19.5B",3.04,"2.0%","13.0%"
"Accenture plc","ACN",121.23,"$75.5B",2.42,"2.0%","3.5%"
"Norfolk Southern Corp.","NSC",122.78,"$35.7B",2.44,"1.99%","13.6%"
"Robert Half International","RHI",48.59,"$6.2B",0.96,"1.98%","-0.4%"
"Monsanto Co.","MON",109.0,"$47.8B",2.16,"1.98%","3.6%"
"Ingersoll-Rand PLC","IR",80.99,"$21B",1.6,"1.98%","7.9%"
"TE Connectivity Ltd.","TEL",75.21,"$26.7B",1.48,"1.97%","8.6%"
"Du Pont (E.I.)","DD",77.49,"$67B",1.52,"1.96%","5.6%"
"Harris Corporation","HRS",109.46,"$13.6B",2.12,"1.94%","6.8%"
"Broadcom","AVGO",210.41,"$83.9B",4.08,"1.94%","19.0%"
"Hess Corporation","HES",51.75,"$16.4B",1.0,"1.93%","-16.9%"
"McCormick & Co.","MKC",97.59,"$12.2B",1.88,"1.93%","4.6%"
"Home Depot","HD",143.0,"$174.2B",2.76,"1.93%","6.7%"
"Raytheon Co.","RTN",152.86,"$44.8B",2.93,"1.92%","7.6%"
"Grainger (W.W.) Inc.","GWW",254.96,"$15B",4.88,"1.91%","9.8%"
"Hartford Financial Svc.Gp.","HIG",48.36,"$18.1B",0.92,"1.9%","1.5%"
"Mead Johnson","MJN",87.5,"$16B",1.65,"1.89%","23.7%"
"NetApp","NTAP",40.17,"$11.1B",0.76,"1.89%","13.9%"
"Franklin Resources","BEN",42.53,"$24B",0.8,"1.88%","7.5%"
"State Street Corp.","STT",80.67,"$30.8B",1.52,"1.88%","3.8%"
"Quest Diagnostics","DGX",95.64,"$13.3B",1.8,"1.88%","4.1%"
"Dun & Bradstreet","DNB",108.2,"$4B",2.01,"1.86%","-10.8%"
"Marsh & McLennan","MMC",73.52,"$37.8B",1.36,"1.85%","8.8%"
"Allstate Corp","ALL",80.44,"$29.4B",1.48,"1.84%","8.5%"
"Hormel Foods Corp.","HRL",37.26,"$19.7B",0.68,"1.83%","7.0%"
"Stanley Black & Decker","SWK",126.65,"$19.3B",2.32,"1.83%","10.4%"
"Lowe's Cos.","LOW",76.74,"$66.8B",1.4,"1.82%","7.9%"
"Viacom Inc.","VIAB",43.99,"$17.6B",0.8,"1.82%","25.3%"
"Whole Foods Market","WFM",30.91,"$9.8B",0.56,"1.81%","0.5%"
"Apache Corporation","APA",55.44,"$21B",1.0,"1.8%","-12.7%"
"NASDAQ OMX Group","NDAQ",71.51,"$11.8B",1.28,"1.79%","6.5%"
